t,x,y,z,roll,pitch,yaw
1.010417222976684570e+00,-4.163895091991548125e-11,2.949705290842863491e-10,2.150102246412752233e-10,4.415227699410859130e-02,3.560488349894306431e-02,7.859826319301210350e-04
1.010456800460815430e+00,-5.315208120267398222e-11,5.568181298548008407e-10,4.093112179078210331e-10,4.415202271488821023e-02,3.560487693242263274e-02,7.858424302538366026e-04
1.010493278503417969e+00,-3.085065482817609040e-11,7.805245472189089848e-10,5.450701513423047612e-10,4.415188218544264381e-02,3.560491996485343202e-02,7.857167392878356988e-04
1.010526657104492188e+00,1.229663008270639215e-11,9.165024755506456057e-10,6.107462382060385904e-10,4.415177233860314437e-02,3.560500875117050823e-02,7.856294191602239277e-04
1.070802927017211914e+00,-1.784051734116245819e-05,-1.791425543557332472e-04,-9.050400299176636647e-05,4.431207756280906851e-02,3.553802849111908219e-02,5.994461124881909691e-04
1.070873260498046875e+00,-1.788227435990713389e-05,-1.795609014077012165e-04,-9.071531453451783095e-05,4.431237952728066254e-02,3.553823269070766760e-02,5.997785913994194834e-04
1.070904016494750977e+00,-1.790054733527126087e-05,-1.797438831112847053e-04,-9.080769392565046154e-05,4.431247303321144554e-02,3.553826931230608804e-02,5.998195987729044391e-04
1.070930957794189453e+00,-1.791657257055223238e-05,-1.799041501688481586e-04,-9.088858083760239528e-05,4.431248384079153335e-02,3.553820562457522814e-02,5.997899096024507468e-04
1.070958137512207031e+00,-1.793275345390417388e-05,-1.800657793688028978e-04,-9.097017189625774441e-05,4.431255109236813261e-02,3.553811089330271428e-02,5.998366549755115113e-04
1.070984363555908203e+00,-1.794837092136615693e-05,-1.802216671497215835e-04,-9.104889882020966642e-05,4.431242754341341988e-02,3.553809781624963499e-02,5.998394775026840006e-04
1.129955053329467773e+00,-8.826486096167037256e-05,-4.478801513541721979e-04,-3.173675209765042726e-04,4.402125403063419234e-02,3.535230949877748996e-02,5.711979470131642441e-04
1.130032777786254883e+00,-8.840395904183246745e-05,-4.481236990378536220e-04,-3.177309478649581898e-04,4.402125377423344449e-02,3.535227496575671369e-02,5.711104585290413408e-04
1.130064725875854492e+00,-8.846112251790716149e-05,-4.482238008972703048e-04,-3.178803839072946117e-04,4.402129426732103584e-02,3.535218292258936190e-02,5.710324668031967546e-04
1.130095243453979492e+00,-8.851569138553109031e-05,-4.483194945138601738e-04,-3.180231081396417869e-04,4.402129407120426025e-02,3.535227262119013808e-02,5.710172874841176185e-04
1.130123615264892578e+00,-8.856639550817488164e-05,-4.484085233346599164e-04,-3.181557909716063877e-04,4.402146276804864283e-02,3.535235403703308049e-02,5.710576707657787814e-04
